Student ID,Gender,Age,Family Size,Parent's Education,Student's Education,Subject,Period 1 Grade,Period 2 Grade,Period 3 Grade,Period 4 Grade,Social Factor 1,Social Factor 2,College Related Feature 1,College Related Feature 2
1,Male,20,Small,Secondary,Higher,Mathematics,10,14,19,12,High,Medium,4,3
2,Female,19,Small,Higher,Secondary,Machine Learning,15,17,13,10,Medium,Medium,2,5
3,Male,18,Medium,Secondary,Higher,Machine Learning,11,12,11,14,High,High,3,2
4,Male,20,Small,Higher,Higher,Machine Learning,10,18,14,12,Medium,Low,5,3
5,Female,21,Small,Secondary,Secondary,Machine Learning,19,14,13,14,Low,High,3,3
6,Female,20,Small,Secondary,Higher,Machine Learning,13,12,15,20,High,High,3,4
7,Female,19,Medium,Secondary,Secondary,Machine Learning,12,12,14,20,Medium,High,2,2
8,Female,20,Small,Higher,Secondary,Mathematics,11,15,17,16,Low,Medium,3,3
9,Female,21,Medium,Secondary,Higher,Machine Learning,15,19,20,14,Low,Low,2,4
10,Male,18,Medium,Secondary,Secondary,Mathematics,14,13,12,18,Medium,Medium,3,5
11,Female,21,Medium,Higher,Higher,Mathematics,14,11,10,16,Low,Medium,3,4
12,Female,19,Small,Higher,Higher,Mathematics,15,12,19,14,Medium,Low,2,2
13,Female,21,Medium,Higher,Secondary,Mathematics,16,18,12,14,Medium,Low,5,2
14,Female,18,Medium,Higher,Higher,Machine Learning,18,20,17,13,High,Low,4,3
15,Male,19,Small,Secondary,Higher,Machine Learning,19,10,17,10,Low,Medium,2,4
16,Male,21,Small,Secondary,Higher,Mathematics,20,10,16,10,High,Medium,4,2
17,Female,18,Small,Secondary,Secondary,Machine Learning,17,17,20,10,Medium,Medium,5,5
18,Female,18,Small,Secondary,Secondary,Machine Learning,14,16,12,12,Medium,Low,2,4
19,Male,19,Small,Higher,Higher,Mathematics,20,14,17,12,High,Low,2,5
20,Female,19,Medium,Higher,Secondary,Machine Learning,20,12,10,17,Low,High,3,3
21,Female,18,Small,Secondary,Higher,Machine Learning,19,11,17,13,High,High,4,5
22,Male,19,Small,Secondary,Higher,Mathematics,19,13,17,16,Medium,High,3,4
23,Female,20,Small,Higher,Secondary,Machine Learning,16,15,16,18,High,Medium,3,4
24,Female,20,Medium,Secondary,Higher,Machine Learning,16,18,18,17,Medium,High,3,4
25,Male,21,Small,Secondary,Higher,Mathematics,17,20,17,16,Low,Medium,5,5
26,Male,19,Small,Higher,Secondary,Machine Learning,20,13,11,12,High,Low,2,3
27,Male,21,Medium,Higher,Secondary,Machine Learning,19,12,13,19,High,Medium,4,3
28,Male,21,Medium,Higher,Higher,Machine Learning,20,16,15,15,High,High,2,3
29,Male,21,Medium,Secondary,Secondary,Mathematics,12,19,18,18,Low,Medium,3,3
30,Female,20,Medium,Higher,Secondary,Machine Learning,20,15,11,14,Low,Medium,3,4
31,Female,19,Medium,Secondary,Secondary,Machine Learning,14,17,11,16,Medium,Medium,5,4
32,Female,18,Medium,Secondary,Secondary,Machine Learning,18,15,10,17,Medium,High,5,2
33,Male,18,Medium,Higher,Secondary,Machine Learning,18,10,12,16,Low,Low,2,5
34,Male,20,Medium,Secondary,Secondary,Machine Learning,16,11,18,11,Low,Medium,4,2
35,Female,21,Medium,Higher,Higher,Mathematics,16,14,11,20,Medium,Low,4,3
36,Male,21,Medium,Higher,Higher,Machine Learning,18,10,11,11,High,Medium,5,4
37,Male,21,Small,Secondary,Higher,Mathematics,20,18,17,11,Medium,Medium,5,5
38,Female,21,Medium,Higher,Higher,Mathematics,14,19,18,11,Medium,High,4,5
39,Female,19,Medium,Secondary,Higher,Machine Learning,18,20,12,19,Medium,High,4,3
