Student ID,Gender,Age,Family Size,Parent's Education,Student's Education,Subject,Period 1 Grade,Period 2 Grade,Period 3 Grade,Period 4 Grade,Social Factor 1,Social Factor 2,College Related Feature 1,College Related Feature 2
1,Male,19,Medium,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,5,3
2,Male,20,Small,Higher,Higher,Machine Learning,13,14,15,16,Low,High,4,4
3,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,5
4,Female,19,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,High,3,2
5,Male,21,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Low,4,3
6,Female,20,Medium,Higher,Higher,Mathematics,14,15,16,17,High,Medium,4,4
7,Male,19,Small,Secondary,Secondary,Mathematics,13,14,15,16,Low,High,3,2
8,Female,18,Medium,Higher,Higher,Mathematics,15,16,17,18,Medium,Low,5,4
9,Male,20,Small,Higher,Higher,Mathematics,12,13,14,15,High,Medium,3,3
10,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,Low,High,4,3
11,Male,22,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,High,5,4
12,Female,19,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Low,3,2
13,Male,18,Medium,Higher,Higher,Machine Learning,16,17,18,19,Medium,Medium,4,3
14,Female,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Low,5,4
15,Male,21,Small,Secondary,Secondary,Machine Learning,15,16,17,18,Low,High,3,2
16,Female,19,Medium,Higher,Higher,Machine Learning,12,13,14,15,Medium,Medium,4,3
17,Male,22,Small,Higher,Higher,Mathematics,14,15,16,17,High,Low,5,4
18,Female,18,Medium,Higher,Higher,Mathematics,13,14,15,16,Low,High,3,2
19,Male,20,Small,Secondary,Secondary,Mathematics,15,16,17,18,Medium,Medium,4,3
20,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,High,Low,5,4
